zone,requested_day,timestamp,carbonIntensity,isEstimated,estimationMethod
DE,2025-01-01,2025-01-01T00:00:00.000Z,176,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:05:00.000Z,209,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:10:00.000Z,239,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:15:00.000Z,268,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:20:00.000Z,165,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:25:00.000Z,248,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:30:00.000Z,164,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:35:00.000Z,258,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:40:00.000Z,206,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:45:00.000Z,196,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:50:00.000Z,170,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T00:55:00.000Z,189,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:00:00.000Z,192,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:05:00.000Z,227,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:10:00.000Z,194,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:15:00.000Z,224,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:20:00.000Z,181,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:25:00.000Z,215,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:30:00.000Z,162,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:35:00.000Z,224,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:40:00.000Z,215,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:45:00.000Z,209,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:50:00.000Z,205,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T01:55:00.000Z,225,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:00:00.000Z,195,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:05:00.000Z,173,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:10:00.000Z,190,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:15:00.000Z,194,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:20:00.000Z,191,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:25:00.000Z,215,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:30:00.000Z,185,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:35:00.000Z,221,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:40:00.000Z,211,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:45:00.000Z,256,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:50:00.000Z,255,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T02:55:00.000Z,187,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T03:00:00.000Z,174,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T03:05:00.000Z,186,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T03:10:00.000Z,248,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T03:15:00.000Z,209,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T03:20:00.000Z,190,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T03:25:00.000Z,209,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T03:30:00.000Z,192,True,SANDBOX_MODE_DATA
DE,2025-01-01,2025-01-01T03:35:00.000Z,205,True,SANDBOX_MODE_DATA
